replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211129,m2-485,IMG_3920.JPG,20211129_IMG_3920,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3920.JPG,FALSE,l,7.02732548068595,1.85453836826607,2,1.61527801836134
replicate_2,gen_3,20211129,m2-488,IMG_3962.JPG,20211129_IMG_3962,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3962.JPG,FALSE,r,9.75140287806418,4.70002342373537,2,3.44634436964691
replicate_2,gen_3,20211129,m2-486,IMG_3935.JPG,20211129_IMG_3935,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3935.JPG,FALSE,r,7.96244750700715,2.98034119233045,2,2.68647741710229
replicate_2,gen_3,20211129,m2-481,IMG_3856.JPG,20211129_IMG_3856,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3856.JPG,FALSE,r,13.2884379215236,3.39735459322341,2,2.98564554770389
replicate_2,gen_3,20211129,m2-487,IMG_3939.JPG,20211129_IMG_3939,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3939.JPG,FALSE,r,10.3005005083288,5.12238992726988,2,3.78313912567451
replicate_2,gen_3,20211129,m2-489,IMG_3966.JPG,20211129_IMG_3966,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3966.JPG,FALSE,l,2.01516954193932,2.96273476672049,2,1.62530806492734
replicate_2,gen_3,20211129,m2-487,IMG_3943.JPG,20211129_IMG_3943,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3943.JPG,FALSE,l,11.1020221812164,3.68672360986931,2,3.6163372458006
replicate_2,gen_3,20211129,m2-483,IMG_3892.JPG,20211129_IMG_3892,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3892.JPG,TRUE,l,10.5809707783869,4.07673325368201,2,3.81544714539344
replicate_2,gen_3,20211129,m2-485,IMG_3931.JPG,20211129_IMG_3931,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3931.JPG,FALSE,r,6.29014689564607,1.92908696670162,2,1.6002768926939
replicate_2,gen_3,20211129,m2-477,IMG_3810.JPG,20211129_IMG_3810,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3810.JPG,FALSE,r,4.57973146956042,2.95403919645229,2,2.72719841415813
replicate_2,gen_3,20211129,m2-484,IMG_3912.JPG,20211129_IMG_3912,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3912.JPG,TRUE,r,1.14147992410646,2.9095943797754,2,2.9095943797754
replicate_2,gen_3,20211129,m2-478,IMG_3821.JPG,20211129_IMG_3821,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3821.JPG,TRUE,r,1.59411110978335,2.99702448525985,2,2.81419165182893
replicate_2,gen_3,20211129,m2-477,IMG_3809.JPG,20211129_IMG_3809,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3809.JPG,FALSE,l,4.97294457578146,3.38429209351195,2,3.40215392697662
replicate_2,gen_3,20211129,m2-488,IMG_3963.JPG,20211129_IMG_3963,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3963.JPG,FALSE,l,9.87638945106953,4.10063206401594,2,4.10063206401594
replicate_2,gen_3,20211129,m2-486,IMG_3937.JPG,20211129_IMG_3937,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3937.JPG,TRUE,l,7.46946379051208,4.21791316496962,2,3.87074239505493
replicate_2,gen_3,20211129,m2-482,IMG_3881.JPG,20211129_IMG_3881,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3881.JPG,FALSE,r,10.209402670702,3.56536676141592,2,3.01527576123188
replicate_2,gen_3,20211129,m2-479,IMG_3851.JPG,20211129_IMG_3851,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3851.JPG,FALSE,r,1.15546003479685,1.96909221164671,2,1.96909221164671
replicate_2,gen_3,20211129,m2-484,IMG_3913.JPG,20211129_IMG_3913,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3913.JPG,FALSE,r,1.12061154563159,2.79111425863631,2,2.79111425863631
replicate_2,gen_3,20211129,m2-481,IMG_3857.JPG,20211129_IMG_3857,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3857.JPG,FALSE,r,13.0431645778364,3.05388357519789,2,2.75395778364116
replicate_2,gen_3,20211129,m2-480,IMG_3838.JPG,20211129_IMG_3838,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3838.JPG,FALSE,l,6.92117832575359,3.98336266197408,2,3.17434924697763
replicate_2,gen_3,20211129,m2-483,IMG_3899.JPG,20211129_IMG_3899,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3899.JPG,FALSE,l,12.2078283287513,3.47450284014934,2,3.45631732651555
replicate_2,gen_3,20211129,m2-479,IMG_3847.JPG,20211129_IMG_3847,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3847.JPG,FALSE,l,1.18634767339772,4.44798068481124,2,1.86676909569798
